companyId,exchangeCode,symbol,lastClosePrice
28338,NasdaqGS,EXEL,22.01
28374,NasdaqGS,EXTR,9.8
28456,SZSE,000636,31.17
28484,NasdaqGS,FGEN,51.64
28565,NasdaqCM,DENN,17.46
28567,NasdaqGM,AVDL,8.77
28606,NYSE,FMC,105.0
28648,NasdaqGS,FORM,47.45
28703,NYSE,BEN,27.34
28754,NYSE,FCN,109.1
28756,NYSE,FLT,283.65
28819,LSE,GAW,98.0
28831,NYSE,HOME,25.66
28856,SWX,GEBN,549.6
28921,NasdaqGS,BLUE,26.07
28922,NasdaqGS,INO,12.88
29002,NasdaqGS,GILD,64.11
29096,NasdaqGS,GOOG.L,2054.26
29113,NYSE,GGG,69.39
29142,NasdaqGS,GLDD,15.29
29185,BMV,GFNORTE O,106.35
29256,NasdaqCM,HNRG,1.87
29272,NYSE,HNGR,21.72
29282,NasdaqGS,HLIT,8.0
29325,NasdaqGS,HAYN,29.11
29346,NasdaqGS,HMSY,36.8
29374,NYSE,EHC,79.49
29431,NasdaqGS,MLHR,38.46
29433,NasdaqCM,HSKA,188.55
29444,NasdaqGS,HIBB,66.1
29470,NYSE,HLT,119.96
29574,NasdaqGS,HST,16.69
29618,NYSE,HUM,379.89
29643,NasdaqCM,IDRA,4.54
29703,NasdaqGS,ICFI,84.7
29726,NasdaqGS,BIIB,284.63
29728,NYSE,IEX,197.3
29729,NasdaqGS,IDXX,536.91
29731,NYSE,IDT,19.08
29753,NasdaqGS,ILMN,470.56
29780,NYSE,IMAX,20.6
29789,NasdaqCM,ICCC,11.74
29794,NasdaqGS,IMGN,9.77
29929,NasdaqGS,NKTR,22.31
29968,ENXTPA,VMX,3.085
29978,NasdaqGS,INSM,40.55
30000,NYSE,IAA,60.96
30012,NasdaqGS,IART,68.91
30133,NYSE,DIN,80.81
30202,LSE,ITRK,55.48
30216,NasdaqGS,IVAC,6.58
30239,NasdaqGS,ISRG,741.4
30288,NasdaqGM,IRIX,6.75
30292,NYSE,IRM,31.81
30300,NasdaqGS,IONS,55.94
30323,NasdaqGS,ITRI,99.98
30384,ISE,SK3,40.68
30409,NasdaqGS,RAIL,3.88
30439,NYSE,JNPR,24.02
30472,NYSE,KSU,213.7
30513,NYSE,KW,18.18
30558,NasdaqGS,KIRK,27.36
30573,NYSE,KNL,16.7
30594,NasdaqCM,KOPN,10.74
30632,NasdaqCM,LJPC,5.91
30643,NYSE,LH,243.86
30655,NasdaqGS,LRCX,567.8
30668,NasdaqGS,LNDC,11.56
30675,NasdaqGS,LSTR,160.29
30686,NasdaqCM,STRM,1.95
30727,NYSE,LEA,169.76
30760,NYSE,LEG,43.21
30763,NYSE,LEN,84.98
30773,NYSE,LEVI,23.57
30781,NasdaqGS,LXRX,7.5
30795,NYSE,GCI,5.7
30796,NasdaqGS,QRTE.A,13.09
30798,NasdaqGM,FRG,36.51
30820,NasdaqGM,LGND,139.94
30864,NYSE,LGF.A,14.94
30886,NasdaqGS,LPSN,65.84
30900,BOVESPA,RENT3,61.09
31007,NYSE,MAXR,46.15
31063,KLSE,MASTEEL,0.575
31097,NYSE,ELS,61.61
31147,BIT,MARR,18.14
31148,NasdaqGS,MAR,142.56
31153,NYSE,MLM,328.1
31158,NasdaqGS,MRVL,49.69
31167,NasdaqGS,MASI,250.02
31193,NasdaqGS,MTRX,13.61
31197,NasdaqGS,MAT,19.46
31320,XTRA,MDG1,3.73
31348,NYSE,MDT,115.75
31424,NasdaqGS,CBAY,5.15
31468,NYSE,MTD,1127.89
31473,LSE,HWDN,7.282
31498,NasdaqGS,IRWD,9.36
31500,NasdaqGS,MCHP,155.19
31509,TSEC,2314,34.9
31639,NasdaqGS,PLUS,89.7
31654,NasdaqGS,TIGO,36.92
31670,NYSE,MHK,173.7
31702,NasdaqCM,MOSY,6.1
31721,NasdaqGS,MORN,233.11
31726,NYSE,LUV,54.79
31822,NasdaqGS,MYGN,29.93
31860,NYSE,AME,120.14
31869,AMEX,NHC,67.16
31900,NYSE,NOV,15.0
31913,NasdaqGS,NTUS,25.78
31926,NYSE,CNR,11.51
31934,TSE,6701,6290.0
31973,SWX,NESN,98.22
32012,NasdaqGS,NFLX,533.78
32039,NasdaqGS,NTCT,29.275
32052,NasdaqGS,NTAP,71.07
32069,BSE,524558,2099.9
32073,NasdaqGS,NBIX,111.04
32077,NasdaqCM,NURO,4.11
32181,TASE,NICE,797.0
