symbol,tradePrice
D,72.04
KNRI11,157.82
601882,12.38
002091,6.44
300020,7.94
STG,114.3
2922,2023.0
4078,1957.0
002749,11.15
002252,7.69
1951,2729.0
6196,116.5
CGC,0.201
300369,12.91
600082,2.86
ADS,91.18
ADM,57.02
CSU,1704.54
1610,5.35
NHC,1.265
600684,2.85
1908,12.54
1099,18.12
2369,15.75
EFR,6.84
3661,881.0
FN,88.12
297,1.25
1945,902.0
2328,5.93
SPT,2.38
000637,3.81
SRS,0.676
EKI,6.69
000400,14.03
RCM,27.96
300419,6.67
ALADO,0.398
000560,3.93
SISB,8.45
SNG,6.1
MTRX,13.72
RJF,5.98
CPS,27.4
1205,0.395
002705,45.79
PADV,41.05
3836,3.3
539957,1135.15
HEIA,85.82
9424,273.0
300027,4.04
DTC,26.42
EML,25.54
JDG,59.0
VEIL,6.03
300665,10.12
3900,10.14
1365,25760.0
TMDX,36.82
DNP,247.4
300640,6.7
SMDS,3.84
2228,77.5
002875,8.12
002714,121.93
002709,85.08
002865,20.19
002354,2.66
3453,268000.0
AIA,7.3
IDGYO,11.07
ORI,15.03
KEX,64.45
6185,354.2
WMS,108.92
SCHO,51.36
VOW,172.62
VER,38.33
2425,28.5
2819,2621.0
1714,9.46
1762,58.9
119,2.36
1805,15.7
1330,30600.0
SZNE,33.8002
DBD,15.24
BNR,64.96
002859,29.0
002165,5.78
EDV,132.01
1364,17530.0
300058,6.39
300371,12.58
VB,213.91
MHH,1.41
LUN,14.9
MT,19.85
002719,7.92
PNV,2.42
DIVIO B,3.14
600127,9.11
GLUC,5.05
ASHR,16.61
00678,28.71
00669R,8.95
000778,3.8
CIG,136.17
XBIO,2.76
300157,3.75
1782,8960.0
000980,2.46
ICHR,43.8
002668,6.02
002187,7.95
TFI,7.125
PPC,8.585
RUBY,11.34
VAC,164.69
300521,17.53
ATT,5.25
002291,16.8
FEMSAUBD,142.48
BGS,2.39
300264,3.45
2303,54.7
1321,34.4
4396,1409.0
600643,6.95
200539,2.55
PATK,81.69
159948,3.18
SATS,23.1
ANNJOO,2.26
Y,626.1
2401,25.45
1871,676.0
300470,47.4
2356,25.0
AVISA,18.23
DEA,1.266
3983,1.89
175,25.9
1582,83.5
SGC,0.9425
VB,13.67
2547,11.4
XDEW,71.095
AVL,0.022
002863,5.11
002981,24.43
002694,2.26
7408,903.0
300456,21.45
3808,25.4
NUEM,36.46
002296,6.22
GUD,12.21
002887,11.8
CALA,2.96
FMNB,14.3
4922,18350.0
1802,921.0
1899,5030.0
ATGL,500.15
2344,30.7
1357,3.07
IESU,3.1265
41,29.45
300477,4.88
002675,21.57
159977,3.034
MTX,207.1
002059,5.37
300430,7.63
2412,2745.0
IGD,5.46
BJTOTO,2.14
EAT,70.85
1083,3.45
FPILIM,210.5
300331,23.5
GRN,2.56
300352,4.69
595,0.132
PZA,9.72
SNDE,2.76
EIRL,51.94
002533,5.1
GENM,2.86
XACT BULL 2,1128.0
PLAT,3.965
300815,87.04
CONNECT,0.235
MAV,0.194
185,0.41
JLG,3.034
LR,72.5
ENELAM,109.35
601918,3.01
GOCO,14.34
NVEE,104.32
MVO,4.26
300268,10.32
CO,4.38
MINETEC,0.19
RCL,90.05
1702,46.25
WHA,3.18
1928,37.45
300558,121.0
TNK,2.14
075970A,3075.0
W,262.9
RMD,200.09
300575,36.6
000739,24.95
SCYX,8.26
3149,28.6
221840A,5040.0
TECN,389.0
300015,74.79
049080A,2245.0
FLXN,11.4
,3117.5
WBT,15.36
ECL,1.2
300326,11.33
2127,5840.0
3199,1217.0
YGG,20.3
