companyId,symbol,tradePrice,lastClosePrice,slippage
562171664,SUP,1.8,1.775,1.4084507042253502
20344044,000600,4.91,4.96,-1.0080645161290258
567900841,1501,38.2,41.35,-7.617896009673519
266730104,1599,2.08,2.04,1.9607843137254832
157028,ESI,17.88,17.73,0.8460236886632666
5547751,000028,39.1,40.15,-2.6151930261519185
133103,SIFY,3.35,3.37,-0.5934718100890191
248604809,HEFA,31.9,31.86,0.12554927809165228
306188923,603605,175.75,180.06,-2.3936465622570235
107244938,BOOM,3.975,4.15,-4.216867469879526
22800180,TDG,604.3,590.13,2.401165844813846
271531976,300586,7.79,8.01,-2.7465667915106073
113642205,000719,7.17,7.21,-0.554785020804438
54072758,300049,7.59,7.64,-0.654450261780104
2482649,6224,124.0,133.5,-7.116104868913853
32451761,002362,21.07,20.64,2.083333333333326
370089277,CAG,1.56,2.24,-30.35714285714286
142427555,1858,19.84,20.55,-3.454987834549883
629874200,RL,0.615,0.585,5.128205128205132
7658472,2362,1.42,1.42,0.0
34556603,002137,5.84,5.9,-1.016949152542379
878590,PRN,1.18,1.43,-17.48251748251748
881046,6996,1117.0,1147.0,-2.615518744551004
338910738,2820,2065.0,2105.0,-1.9002375296912066
9536953,1COV,60.94,60.1,1.3976705490848618
215005509,7177,953.0,1010.0,-5.643564356435649
223280820,GSBD,17.9,18.06,-0.8859357696566983
60225948,SMAL11,132.99,132.0,0.7500000000000062
20385248,908,2.95,2.95,0.0
13008366,2227,257.5,254.0,1.3779527559055094
129004094,HIBISCS,0.705,0.69,2.1739130434782705
251962529,1268,27.7,29.15,-4.974271012006859
575640625,4571,123.5,102.5,20.487804878048777
9844665,2462,28.8,28.75,0.17391304347826875
6631173,BGS,31.56,30.9,2.1359223300970953
586969687,ECV,17.8,18.78,-5.218317358892444
656420338,BAIGABUA,112.5,111.3,1.0781671159029615
23316028,300483,32.82,34.31,-4.342757213640347
881857,MCB,0.814,0.818,-0.4889975550122272
314515,WHR,192.81,192.69,0.06227619492449321
98639764,002531,7.93,7.95,-0.2515723270440362
27776447,DOG,37.81,37.81,0.0
9755098,2889,13.7,13.4,2.238805970149249
4481845,512,6.17,6.53,-5.513016845329255
434143973,NVPT.L,13.78,13.51,1.998519615099914
